# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.6678733
Weighted average F-Measure	0.62568821
Weighted average true positive rate	0.67741935
Weighted average false positive rate	0.59204982
Weighted average sensitivity (recall)	0.67741935
Total number correct	85
Total number incorrect	39
Accuracy	0.68548387
Error rate	0.31451613
Error rate expected by chance	0.31451613
Improvement over error rate expected by chance	0.0
Kappa statistic	0.1024249
Mean absolute error	0.39931085
Mean prior absolute error	0.43228367
Root mean squared error	0.4510859
Root mean prior squared error	0.46433221
Relative absolute error (%)	92.3724125
Root relative squared error (%)	97.14723475
Kononenko & Bratko information score (bits)	7.28476381
Kononenko & Bratko information score (bits / instance)	0.0587481
Kononenko & Bratko relative information score (%)	807.98337046
Class complexity - order (bits)	111.39501066
Class complexity - order (bits / instance)	0.89834686
Class complexity - scheme (bits)	106.01406043
Class complexity - scheme (bits / instance)	0.8549521
Complexity improvement (bits)	5.38095023
Complexity improvement (bits / instance)	0.04339476
