	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
MajorityVoteEnsemblePredictor	0.546969696969697	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.4199630142796517	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	86.94499707396521	0.5532533801986953	112.68020607301673	22	15	0.0
MaxProbabilityEnsemblePredictor	0.5757575757575758	0.5405405405405406	0.4054054054054054	-0.05405405405405406	NA	0.45945945945945943	-0.05360134003350075	0.4556214782478389	6.0	2.0	4.0	31.0	18.0	13.0	15.0	2.0	13.0	22.0	18.0	4.0	0.16216216216216217	0.3333333333333333	0.6666666666666666	0.8378378378378378	0.5806451612903226	0.41935483870967744	0.40540540540540543	0.13333333333333333	0.8666666666666667	0.5945945945945946	0.8181818181818182	0.18181818181818182	94.32737347369176	0.5735079993194514	116.80543103890416	20	17	-0.048484848484848464
MeanProbabilityEnsemblePredictor	0.6303030303030303	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.4584531571134741	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	94.91361631488425	0.4864636852172029	99.07725873744755	22	15	0.0
SelectBestEnsemblePredictor	0.6393939393939394	0.6216216216216216	0.4054054054054054	0.027027027027026973	NA	0.3783783783783784	0.16181229773462782	0.4314792590364446	9.0	5.0	4.0	28.0	18.0	10.0	15.0	5.0	10.0	22.0	18.0	4.0	0.24324324324324326	0.5555555555555556	0.4444444444444444	0.7567567567567568	0.6428571428571429	0.35714285714285715	0.40540540540540543	0.3333333333333333	0.6666666666666666	0.5945945945945946	0.8181818181818182	0.18181818181818182	89.32920671299708	0.487855767687169	99.36078188470799	23	14	0.1515151515151516
SimpleWeightedMeanProbabilityEnsemblePredictor	0.6303030303030303	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.45932774246803004	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	95.09468183376865	0.4877216361100742	99.33346352699184	22	15	0.0
SimpleWeightedVoteEnsemblePredictor	0.5166666666666667	0.43243243243243246	0.4054054054054054	-0.16216216216216217	NA	0.5675675675675675	-0.03462050599201056	0.502026758764218	28.0	11.0	17.0	9.0	5.0	4.0	15.0	11.0	4.0	22.0	5.0	17.0	0.7567567567567568	0.39285714285714285	0.6071428571428571	0.24324324324324326	0.5555555555555556	0.4444444444444444	0.40540540540540543	0.7333333333333333	0.26666666666666666	0.5945945945945946	0.22727272727272727	0.7727272727272727	103.93466469107126	0.5658185782967547	115.2393393051158	16	21	-0.039393939393939426
StackedEnsemblePredictor_weka_svm_rbf_Classes	0.55	0.6756756756756757	0.4054054054054054	0.08108108108108103	NA	0.32432432432432434	0.26490066225165565	0.4477837837837838	7.0	5.0	2.0	30.0	20.0	10.0	15.0	5.0	10.0	22.0	20.0	2.0	0.1891891891891892	0.7142857142857143	0.2857142857142857	0.8108108108108109	0.6666666666666666	0.3333333333333333	0.40540540540540543	0.3333333333333333	0.6666666666666666	0.5945945945945946	0.9090909090909091	0.09090909090909091	92.70473457675755	0.4923034660681384	100.26663729934326	25	12	0.24242424242424243
StackedEnsemblePredictor_weka_svm_rbf_Probabilities	0.6121212121212121	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.112	0.44283783783783787	10.0	5.0	5.0	27.0	17.0	10.0	15.0	5.0	10.0	22.0	17.0	5.0	0.2702702702702703	0.5	0.5	0.7297297297297297	0.6296296296296297	0.37037037037037035	0.40540540540540543	0.3333333333333333	0.6666666666666666	0.5945945945945946	0.7727272727272727	0.22727272727272727	91.68077474892398	0.4839688676607875	98.56914334867123	22	15	0.10606060606060597
utahontario2_SA_B_CELL_RECEPTOR_COMPLEXES_weka_svm_weights_r_svm_rbf	0.5696969696969697	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.024604569420035357	0.4571131681283297	2.0	1.0	1.0	35.0	21.0	14.0	15.0	1.0	14.0	22.0	21.0	1.0	0.05405405405405406	0.5	0.5	0.9459459459459459	0.6	0.4	0.40540540540540543	0.06666666666666667	0.9333333333333333	0.5945945945945946	0.9545454545454546	0.045454545454545456	94.63619822226393	0.48562751061708115	98.90695643180071	22	15	0.021212121212121238
utahontario2_SA_B_CELL_RECEPTOR_COMPLEXES_weka_svm_weights_r_svm_rbf_Training_Data	0.6500754147812972	0.7096774193548387	0.3145161290322581	0.024193548387096864	NA	0.29032258064516125	0.11883142518752486	0.4109857122856445	5.0	4.0	1.0	119.0	84.0	35.0	39.0	4.0	35.0	85.0	84.0	1.0	0.04032258064516129	0.8	0.2	0.9596774193548387	0.7058823529411765	0.29411764705882354	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9882352941176471	0.011764705882352941	95.07315322402893	0.4486651634558588	96.6258969667884	88	36	0.09079939668174974
