	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Total number correct	Total number incorrect	Youden Index
MajorityVoteEnsemblePredictor	0.6304347826086957	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	23	13	0.0
MaxProbabilityEnsemblePredictor	0.5250836120401338	0.6111111111111112	0.36111111111111116	-0.02777777777777768	NA	0.38888888888888884	5.0	2.0	3.0	31.0	20.0	11.0	13.0	2.0	11.0	23.0	20.0	3.0	0.1388888888888889	0.4	0.6	0.8611111111111112	0.6451612903225806	0.3548387096774194	0.3611111111111111	0.15384615384615385	0.8461538461538461	0.6388888888888888	0.8695652173913043	0.13043478260869565	22	14	0.02341137123745818
MeanProbabilityEnsemblePredictor	0.68561872909699	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	23	13	0.0
SelectBestEnsemblePredictor	0.5852842809364549	0.5555555555555556	0.36111111111111116	-0.08333333333333326	NA	0.4444444444444444	9.0	3.0	6.0	27.0	17.0	10.0	13.0	3.0	10.0	23.0	17.0	6.0	0.25	0.3333333333333333	0.6666666666666666	0.75	0.6296296296296297	0.37037037037037035	0.3611111111111111	0.23076923076923078	0.7692307692307693	0.6388888888888888	0.7391304347826086	0.2608695652173913	20	16	-0.030100334448160515
SimpleWeightedMeanProbabilityEnsemblePredictor	0.68561872909699	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	23	13	0.0
SimpleWeightedVoteEnsemblePredictor	0.4882943143812709	0.3333333333333333	0.36111111111111116	-0.3055555555555555	NA	0.6666666666666667	31.0	10.0	21.0	5.0	2.0	3.0	13.0	10.0	3.0	23.0	2.0	21.0	0.8611111111111112	0.3225806451612903	0.6774193548387096	0.1388888888888889	0.4	0.6	0.3611111111111111	0.7692307692307693	0.23076923076923078	0.6388888888888888	0.08695652173913043	0.9130434782608695	12	24	-0.14381270903010024
StackedEnsemblePredictor_weka_svm_rbf_Classes	0.5819397993311036	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	10.0	5.0	5.0	26.0	18.0	8.0	13.0	5.0	8.0	23.0	18.0	5.0	0.2777777777777778	0.5	0.5	0.7222222222222222	0.6923076923076923	0.3076923076923077	0.3611111111111111	0.38461538461538464	0.6153846153846154	0.6388888888888888	0.782608695652174	0.21739130434782608	23	13	0.16722408026755864
StackedEnsemblePredictor_weka_svm_rbf_Probabilities	0.6254180602006689	0.6666666666666666	0.36111111111111116	0.02777777777777779	NA	0.33333333333333337	9.0	5.0	4.0	27.0	19.0	8.0	13.0	5.0	8.0	23.0	19.0	4.0	0.25	0.5555555555555556	0.4444444444444444	0.75	0.7037037037037037	0.2962962962962963	0.3611111111111111	0.38461538461538464	0.6153846153846154	0.6388888888888888	0.8260869565217391	0.17391304347826086	24	12	0.21070234113712383
utahontario1_KEGG_ABC_TRANSPORTERS_weka_svm_weights_r_svm_rbf	0.5384615384615384	0.6666666666666666	0.36111111111111116	0.02777777777777779	25	0.33333333333333337	3.0	2.0	1.0	33.0	22.0	11.0	13.0	2.0	11.0	23.0	22.0	1.0	0.08333333333333333	0.6666666666666666	0.3333333333333333	0.9166666666666666	0.6666666666666666	0.3333333333333333	0.3611111111111111	0.15384615384615385	0.8461538461538461	0.6388888888888888	0.9565217391304348	0.043478260869565216	24	12	0.11036789297658878
utahontario1_KEGG_ABC_TRANSPORTERS_weka_svm_weights_r_svm_rbf_Training_Data	0.6039215686274509	0.6774193548387096	0.3145161290322581	-0.008064516129032251	25	0.32258064516129037	9.0	4.0	5.0	115.0	80.0	35.0	39.0	4.0	35.0	85.0	80.0	5.0	0.07258064516129033	0.4444444444444444	0.5555555555555556	0.9274193548387096	0.6956521739130435	0.30434782608695654	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9411764705882353	0.058823529411764705	84	40	0.043740573152337925
