	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
MajorityVoteEnsemblePredictor	0.540133779264214	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.3936032218393384	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	84.92889707826734	0.5474336476516273	113.95886259812205	23	13	0.0
MaxProbabilityEnsemblePredictor	0.5016722408026756	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.40657165538360845	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	87.72713321210983	0.5199210202155714	108.23157903937734	23	13	0.0
MeanProbabilityEnsemblePredictor	0.6020066889632107	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.45081082061042366	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	97.27274488881066	0.4778430582549591	99.47224043085626	23	13	0.0
SelectBestEnsemblePredictor	0.5585284280936454	0.5555555555555556	0.36111111111111116	-0.08333333333333326	NA	0.4444444444444444	-0.06299212598425197	0.4593410266731684	3.0	0.0	3.0	33.0	20.0	13.0	13.0	0.0	13.0	23.0	20.0	3.0	0.08333333333333333	0.0	1.0	0.9166666666666666	0.6060606060606061	0.3939393939393939	0.3611111111111111	0.0	1.0	0.6388888888888888	0.8695652173913043	0.13043478260869565	99.11333193831143	0.4927306720865557	102.57138412859345	20	16	-0.13043478260869568
SimpleWeightedMeanProbabilityEnsemblePredictor	0.6053511705685619	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.4503222551863022	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	97.16732572474156	0.47790413245560626	99.48495420259773	23	13	0.0
SimpleWeightedVoteEnsemblePredictor	0.4481605351170568	0.3888888888888889	0.36111111111111116	-0.24999999999999994	NA	0.6111111111111112	-0.10306406685236764	0.4723407985270422	25.0	8.0	17.0	11.0	6.0	5.0	13.0	8.0	5.0	23.0	6.0	17.0	0.6944444444444444	0.32	0.68	0.3055555555555556	0.5454545454545454	0.45454545454545453	0.3611111111111111	0.6153846153846154	0.38461538461538464	0.6388888888888888	0.2608695652173913	0.7391304347826086	101.91833002917883	0.5351253744586792	111.39665835723859	14	22	-0.12374581939799323
StackedEnsemblePredictor_weka_svm_rbf_Classes	0.5367892976588629	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.4502222222222223	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	97.14574132492116	0.48225097200524125	100.38983261680907	23	13	0.0
StackedEnsemblePredictor_weka_svm_rbf_Probabilities	0.46153846153846156	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.44880555555555546	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.84006309148263	0.48325191843040477	100.59819890306608	23	13	0.0
utahontario1_SA_B_CELL_RECEPTOR_COMPLEXES_weka_svm_weights_r_svm_rbf	0.5284280936454849	0.6666666666666666	0.36111111111111116	0.02777777777777779	NA	0.33333333333333337	0.16602316602316594	0.4595802274228052	5.0	3.0	2.0	31.0	21.0	10.0	13.0	3.0	10.0	23.0	21.0	2.0	0.1388888888888889	0.6	0.4	0.8611111111111112	0.6774193548387096	0.3225806451612903	0.3611111111111111	0.23076923076923078	0.7692307692307693	0.6388888888888888	0.9130434782608695	0.08695652173913043	99.16494497072517	0.4856939947666458	101.10656415034242	24	12	0.14381270903010024
utahontario1_SA_B_CELL_RECEPTOR_COMPLEXES_weka_svm_weights_r_svm_rbf_Training_Data	0.6060331825037708	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.06987761547572073	0.40988425361236186	4.0	2.0	2.0	120.0	83.0	37.0	39.0	2.0	37.0	85.0	83.0	2.0	0.03225806451612903	0.5	0.5	0.967741935483871	0.6916666666666667	0.30833333333333335	0.31451612903225806	0.05128205128205128	0.9487179487179487	0.6854838709677419	0.9764705882352941	0.023529411764705882	94.81835324903088	0.4506702682133275	97.05772243817215	85	39	0.0277526395173453
