# Measures of classification performance for each class (dependent variable).
Metric	Result
Number instances predicted as [BRCACancer]	48.0
Number instances predicted as [BRCACancer] correctly	23.0
Number instances predicted as [BRCACancer] incorrectly	25.0
Number instances predicted as [Control]	35.0
Number instances predicted as [Control] correctly	19.0
Number instances predicted as [Control] incorrectly	16.0
Proportion instances predicted as [BRCACancer]	0.57831325
Proportion instances predicted as [BRCACancer] correctly	0.47916667
Proportion instances predicted as [BRCACancer] incorrectly	0.52083333
Proportion instances predicted as [Control]	0.42168675
Proportion instances predicted as [Control] correctly	0.54285714
Proportion instances predicted as [Control] incorrectly	0.45714286
Number [BRCACancer] instances predicted correctly	23.0
Number [BRCACancer] instances predicted incorrectly	16.0
Number [Control] instances predicted correctly	19.0
Number [Control] instances predicted incorrectly	25.0
Proportion [BRCACancer] instances predicted correctly	0.58974359
Proportion [BRCACancer] instances predicted incorrectly	0.41025641
Proportion [Control] instances predicted correctly	0.43181818
Proportion [Control] instances predicted incorrectly	0.56818182
