Row.names	PathwayMutatedGenes	UtahControl_NumNonMuts	UtahControl_NumMuts	UtahCancer_NumNonMuts	UtahCancer_NumMuts	UtahControl_MutationRate	UtahCancer_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
REACTOME_SIGNALING_IN_IMMUNE_SYSTEM	CD47(1),CD96(1),DUSP7(1),ECSIT(1),IRAK1(1),MERTK(1),PROC(1),SLC16A8(1),TLR10(1),TLR6(1);C1QB(1),C1R(1),CD274(1),CD96(1),COL1A1(1),COL1A2(1),ICAM3(1),IRF3(1),ITGA3(1),ITGA4(2),L1CAM(1),MTOR(1),NFKB1(1),NFKB2(1),PF4V1(1),PIK3CA(2),PROC(1),PTPN6(1),RIPK3(1),SIRPA(1),SLC7A6(1),TLR10(1),TLR3(1),ULBP3(1),YES1(1)	11	5	4	15	0.3125	0.789473684211	7.67421183399375	0.00578581676903483	2.840564173639	0.00345424028705654
REACTOME_METABOLISM_OF_PROTEINS	CCT3(1),GPAA1(2),PIGG(1),PLAUR(1),PROC(1),RPS3(1),TBCC(1);CCT3(1),EIF3A(1),FBXW10(1),FBXW5(1),FBXW9(1),KIF13A(1),LONP2(1),PIGF(1),PIGG(1),PIGL(1),PIGM(1),PIGW(1),PROC(1),PROZ(1),RPL35A(1),RPL7(2),RPS16(1),SPHK1(1)	12	4	6	13	0.25	0.684210526316	6.11481859360638	0.0124235536190849	2.56041550420622	0.00619560050721277
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	IRAK1(1),MAPK13(1),PIK3R5(1);CALML5(1),NFKB1(1),NTRK2(1),PIK3CA(2),PIK3R5(1),PSEN2(4),SHC2(1)	14	2	9	10	0.125	0.526315789474	7.3142461883693	0.0147942157953281	2.49173882963649	0.00964963011801259
KEGG_CITRATE_CYCLE_TCA_CYCLE	;ACO1(1),IDH3A(2),PDHA2(1),SUCLG1(1),SUCLG2(1)	16	0	13	6	0	0.315789473684	NA	0.0167155425219941	2.46941362063225	0.0096496330760952
ST_B_CELL_ANTIGEN_RECEPTOR	;BLNK(1),NFKB1(1),NFKB2(1),PIK3CA(2),SYK(1)	16	0	13	6	0	0.315789473684	NA	0.0167155425219941	2.46941362063225	0.0096496330760952
KEGG_TYPE_II_DIABETES_MELLITUS	PIK3R5(1);MTOR(1),PDX1(2),PIK3CA(2),PIK3R5(1),PRKCZ(1),SLC2A4(1)	15	1	11	8	0.0625	0.421052631579	10.2409105584244	0.0184355874011047	2.41777453781355	0.00965009825728508
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	DGKD(1),INPP4A(1),PI4K2A(2),PIK3R5(1);CALML5(1),INPP5A(3),INPP5E(1),IPPK(1),ITPR1(1),ITPR2(1),PI4K2B(1),PIK3CA(2),PIK3R5(1)	12	4	7	12	0.25	0.631578947368	4.88581850926269	0.0266897343117297	2.25745149618275	0.0135563277433403
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	ADRA1B(1),ADRA2C(1),TAAR1(1),TAAR6(1);ADRA1B(2),ADRA2C(5),CHRM5(1),DRD1(1),DRD4(2),TAAR6(1)	12	4	7	12	0.25	0.631578947368	4.88581850926269	0.0266897343117297	2.25745149618275	0.0135563277433403
KEGG_RETINOL_METABOLISM	;ADH4(1),CYP3A7(1),RDH8(1),UGT1A3(2)	16	0	14	5	0	0.263157894737	NA	0.0358190196899874	2.21636655401456	0.0159255859754158
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	;CD274(1),MTOR(1),PIK3CA(2),PTPN6(1),YES1(1)	16	0	14	5	0	0.263157894737	NA	0.0358190196899874	2.21636655401456	0.0159255859754158
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	;NFKB1(1),PSEN2(4)	16	0	14	5	0	0.263157894737	NA	0.0358190196899874	2.21636655401456	0.0159255859754158
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	;EBP(1),NOLC1(1),PIK3CA(2),SLC2A4(1)	16	0	14	5	0	0.263157894737	NA	0.0358190196899874	2.21636655401456	0.0159255859754158
ST_GAQ_PATHWAY	;ITPR1(1),ITPR2(1),NFKB1(1),NFKB2(1),PLD3(1)	16	0	14	5	0	0.263157894737	NA	0.0358190196899874	2.21636655401456	0.0159255859754158
KEGG_ERBB_SIGNALING_PATHWAY	PIK3R5(1),STAT5A(1);ARAF(1),ERBB2(1),MTOR(1),NRG2(1),NRG3(1),PIK3CA(2),PIK3R5(1),SHC2(1)	14	2	10	9	0.125	0.473684210526	5.97242201449608	0.0302929180571004	2.21361012301501	0.015925586037332
KEGG_VITAMIN_DIGESTION_AND_ABSORPTION	BTD(1);MMACHC(3),PNLIP(1),SCARB1(2),SLC5A6(1)	15	1	12	7	0.0625	0.368421052632	8.27220089239922	0.0374658711699868	2.14710509920161	0.0199704978900412
REACTOME_COLLAGEN_MEDIATED_ACTIVATION_CASCADE	PIK3R5(1);COL1A1(1),COL1A2(1),PIK3CA(2),PIK3R5(1),PRKCZ(1),SYK(1)	15	1	12	7	0.0625	0.368421052632	8.27220089239922	0.0374658711699868	2.14710509920161	0.0199704978900412
KEGG_CHOLINERGIC_SYNAPSE	ADCY5(1),GNAI2(1),PIK3R5(1);ACHE(1),ADCY5(1),CHRM5(1),CREB3L4(1),ITPR1(1),ITPR2(1),JAK2(1),PIK3CA(2),PIK3R5(1),SLC5A7(1)	13	3	9	10	0.1875	0.526315789474	4.59336096308431	0.0417484805984104	2.06657627156561	0.0238455707066118
REACTOME_TRKA_SIGNALLING_FROM_THE_PLASMA_MEMBRANE	ADCY5(1),CASP9(1),MAPK13(1),MDM2(1);ADCY5(1),ITPR1(1),ITPR2(1),MDM2(3),MTOR(1),PIK3CA(2),SHC2(1)	13	3	9	10	0.1875	0.526315789474	4.59336096308431	0.0417484805984104	2.06657627156561	0.0238455707066118
BIOCARTA_EIF4_PATHWAY	;EIF4G3(1),MTOR(1),PIK3CA(2)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
BIOCARTA_MTOR_PATHWAY	;EIF3A(1),EIF4G3(1),MTOR(1),PIK3CA(2)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
BIOCARTA_RACCYCD_PATHWAY	;CCNE1(1),NFKB1(1),PIK3CA(2)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
KEGG_GLIOMA	MDM2(1),PDGFB(1),PDGFRA(1),PIK3R5(1);ARAF(1),CALML5(1),IGF1R(1),MDM2(3),MTOR(1),PDGFRA(1),PIK3CA(2),PIK3R5(1),SHC2(1)	12	4	8	11	0.25	0.578947368421	3.95110404704461	0.0521013686705035	1.95900977492345	0.0348849651021161
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	;CCL25(1),IL5(1),ITGA4(2)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
KEGG_LONG_TERM_POTENTIATION	;ARAF(1),CALML5(1),ITPR1(1),ITPR2(1)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	;ALDH3A2(1),CRYL1(1),UGT1A3(2)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
REACTOME_A_THIRD_PROTEOLYTIC_CLEAVAGE_RELEASES_NICD	;PSEN2(4)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
REACTOME_CD28_CO_STIMULATION	;MTOR(1),PIK3CA(2),YES1(1)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	CD47(1),MERTK(1),PROC(1),SLC16A8(1);COL1A1(1),COL1A2(1),ITGA3(1),ITGA4(2),L1CAM(1),PF4V1(1),PIK3CA(2),PROC(1),PTPN6(1),SIRPA(1),SLC7A6(1),YES1(1)	12	4	8	11	0.25	0.578947368421	3.95110404704461	0.0521013686705035	1.95900977492345	0.0348849651021161
REACTOME_CITRIC_ACID_CYCLE	;IDH3A(2),SUCLG1(1),SUCLG2(1)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	ITGA7(1),RAPGEF4(1),TLN1(1);COL1A1(1),COL1A2(1),FGB(2),ICAM3(1),ITGA3(1),ITGA4(2),ITGA7(1),TLN1(1)	14	2	11	8	0.125	0.421052631579	4.86138355588218	0.057960022921091	1.93138891937764	0.0348849651021161
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	ERCC3(1),GTF2E2(1),NUP93(1);CCNT1(2),GTF2E2(2),NUP155(1),SUPT4H1(1),TAF1(1),TAF11(1)	14	2	11	8	0.125	0.421052631579	4.86138355588218	0.057960022921091	1.93138891937764	0.0348849651021161
REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS	;PSEN2(4)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
REACTOME_VIRAL_DSRNA_TLR3_TRIF_COMPLEX_ACTIVATES_RIP1	;NFKB1(1),NFKB2(1),RIPK3(1),TLR3(1)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	;ITPR1(1),ITPR2(1),PIK3CA(2),SYK(1)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
ST_ADRENERGIC	;ITPR1(1),ITPR2(1),PIK3CA(2)	16	0	15	4	0	0.210526315789	NA	0.074025974025974	1.95014256585632	0.0348849651021161
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	CASP3(2),IFNA14(1),IFNA6(1),PIK3R5(1),PRF1(1),PTK2B(1),TNFRSF10C(2);ARAF(1),IFNAR1(1),PIK3CA(2),PIK3R5(1),PRF1(3),PTK2B(1),PTPN6(1),SHC2(1),SYK(1),TNFRSF10A(1),TNFRSF10C(1),ULBP3(1)	11	5	7	12	0.3125	0.631578947368	3.62127636472692	0.0609285679740775	1.88151745384851	0.0382403190410345
BIOCARTA_GH_PATHWAY	STAT5A(1);HNF1A(1),JAK2(1),PIK3CA(2),PTPN6(1),SLC2A4(1)	15	1	13	6	0.0625	0.315789473684	6.58857800655538	0.0720497522499747	1.86620745448031	0.0390891932362208
KEGG_BASAL_CELL_CARCINOMA	FZD1(1);APC2(1),DVL3(1),FZD1(1),FZD7(1),WNT2B(2)	15	1	13	6	0.0625	0.315789473684	6.58857800655538	0.0720497522499747	1.86620745448031	0.0390891932362208
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	MPI(1);GMPPB(1),MPI(2),MTMR1(1),PFKFB1(1),PFKP(1),PMM2(1)	15	1	13	6	0.0625	0.315789473684	6.58857800655538	0.0720497522499747	1.86620745448031	0.0390891932362208
KEGG_HOMOLOGOUS_RECOMBINATION	RAD54L(1);RAD51C(1),RAD54L(1),RPA1(1),RPA4(3)	15	1	13	6	0.0625	0.315789473684	6.58857800655538	0.0720497522499747	1.86620745448031	0.0390891932362208
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	CCT3(1);CCT3(1),FBXW10(1),FBXW5(1),FBXW9(1),KIF13A(1),LONP2(1),SPHK1(1)	15	1	13	6	0.0625	0.315789473684	6.58857800655538	0.0720497522499747	1.86620745448031	0.0390891932362208
REACTOME_CHAPERONIN_MEDIATED_PROTEIN_FOLDING	CCT3(1);CCT3(1),FBXW10(1),FBXW5(1),FBXW9(1),KIF13A(1),LONP2(1),SPHK1(1)	15	1	13	6	0.0625	0.315789473684	6.58857800655538	0.0720497522499747	1.86620745448031	0.0390891932362208
SIG_CHEMOTAXIS	ROCK2(1);ITPR1(1),ITPR2(1),PIK3CA(2),RHO(1),WASF1(1)	15	1	13	6	0.0625	0.315789473684	6.58857800655538	0.0720497522499747	1.86620745448031	0.0390891932362208
REACTOME_SIGNALLING_BY_NGF	ADCY5(1),CASP3(2),CASP9(1),DUSP7(1),IRAK1(1),MAPK13(1),MDM2(1),PCSK5(3),RTN4(1),SH3GL2(1),SORCS3(1);ADCY5(1),ARHGEF12(1),ITPR1(1),ITPR2(1),MCF2(1),MDM2(3),MTOR(1),NFKB1(1),NTRK2(1),PIK3CA(2),PSEN2(4),SHC2(1),SORCS3(1)	9	7	5	14	0.4375	0.736842105263	3.46128583847497	0.0726814012348665	1.80079782513683	0.0453526918382686
KEGG_CELL_ADHESION_MOLECULES_CAMS	CADM1(1),CD22(1),CLDN23(1);CD274(1),CLDN23(2),CNTNAP1(1),ICAM3(1),ITGA4(2),L1CAM(1),NCAM2(1),NLGN2(1)	13	3	10	9	0.1875	0.473684210526	3.74783373622505	0.0767890248424174	1.77689572277356	0.0524138015180882
