# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.71689291
Weighted average F-Measure	0.69558268
Weighted average true positive rate	0.71774194
Weighted average false positive rate	0.47641464
Weighted average sensitivity (recall)	0.71774194
Total number correct	89
Total number incorrect	35
Accuracy	0.71774194
Error rate	0.28225806
Error rate expected by chance	0.31451613
Improvement over error rate expected by chance	0.03225806
Kappa statistic	0.26936027
Mean absolute error	0.361347
Mean prior absolute error	0.43228367
Root mean squared error	0.43013948
Root mean prior squared error	0.46433221
Relative absolute error (%)	83.59025112
Root relative squared error (%)	92.63614929
Kononenko & Bratko information score (bits)	17.97463982
Kononenko & Bratko information score (bits / instance)	0.14495677
Kononenko & Bratko relative information score (%)	1993.64185905
Class complexity - order (bits)	111.39501066
Class complexity - order (bits / instance)	0.89834686
Class complexity - scheme (bits)	100.36028317
Class complexity - scheme (bits / instance)	0.80935712
Complexity improvement (bits)	11.0347275
Complexity improvement (bits / instance)	0.08898974
