Pathway	Utah Expression 24vs35 PermutedAUCs	Ontario Expression 24vs35 PermutedAUCs	Utah Expression 0124vs35 PermutedAUCs	Ontario Expression 0124vs35 PermutedAUCs	Lim PermutedAUCs	Bellacosa Breast PermutedAUCs
BIOCARTA_41BB_PATHWAY	0.098	0.049	1	0.831	0.138	0.302
BIOCARTA_ACE2_PATHWAY	0.869	0.65	0.476	0.719	0.016	0.999
BIOCARTA_ACH_PATHWAY	0.002	0.146	0.001	0.057	0.326	0.945
BIOCARTA_ACTINY_PATHWAY	0.001	0.299	0.001	0.598	0.03	0.172
BIOCARTA_AGPCR_PATHWAY	0.497	0.012	0.012	0.016	0.999	0.409
BIOCARTA_AGR_PATHWAY	0.001	0.081	0.035	0.109	0.025	0.79
BIOCARTA_AHSP_PATHWAY	0.136	0.738	0.805	0.501	0.167	1
BIOCARTA_AKAP13_PATHWAY	0.077	0.92	0.281	0.898	0.063	0.99
BIOCARTA_AKAP95_PATHWAY	0.292	0.721	0.035	0.444	0.005	1
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.022	0.751	0.002	0.693	0.176	0.865
BIOCARTA_AKT_PATHWAY	0.005	0.562	0.003	0.418	0.013	1
BIOCARTA_ALK_PATHWAY	0.019	0.122	0.011	0.039	0.089	0.008
BIOCARTA_AMI_PATHWAY	0.489	0.851	0.076	0.888	0.796	0.986
BIOCARTA_ARAP_PATHWAY	0.001	0.46	0.006	0.235	0.025	0.991
BIOCARTA_ARENRF2_PATHWAY	0.119	0.007	0.035	0.021	0.521	0.57
BIOCARTA_ARF_PATHWAY	0.054	0.075	0.11	0.314	0.021	0.384
BIOCARTA_ASBCELL_PATHWAY	0.878	0.886	0.008	0.249	0.864	0.003
BIOCARTA_AT1R_PATHWAY	0.001	0.004	0.001	0.066	0.035	0.122
BIOCARTA_ATM_PATHWAY	0.036	0.048	0.021	0.148	0.085	1
BIOCARTA_ATRBRCA_PATHWAY	0.01	0.029	0.01	0.029	0.738	0.987
BIOCARTA_BAD_PATHWAY	0.009	0.002	0.008	0.068	0.075	1
BIOCARTA_BARRESTIN_PATHWAY	0.286	0.344	0.17	0.202	0.296	0.011
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.001	0.317	0.001	0.743	0.008	0.671
BIOCARTA_BARR_MAPK_PATHWAY	0.002	0.345	0.001	0.242	0.02	0.037
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.591	0.046	0.017	0.233	0.07	0.173
BIOCARTA_BCR_PATHWAY	0.001	0.002	0.001	0.003	0.035	0.009
BIOCARTA_BIOPEPTIDES_PATHWAY	0.213	0.423	0.062	0.117	0.065	0.204
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.149	0.46	0.936	0.509	0.964	0.38
BIOCARTA_CACAM_PATHWAY	0.014	0.049	0.013	0.047	0.978	0.573
BIOCARTA_CALCINEURIN_PATHWAY	0.102	0.04	0.02	0.154	0.056	1
BIOCARTA_CARDIACEGF_PATHWAY	0.878	0.936	0.131	0.067	0.028	0.277
BIOCARTA_CARM1_PATHWAY	0.316	0.018	0.107	0.021	0.936	0.999
BIOCARTA_CARM_ER_PATHWAY	0.168	0.508	0.411	0.077	0.026	0.006
BIOCARTA_CASPASE_PATHWAY	0.241	0.275	0.001	0.023	0.039	0.057
BIOCARTA_CBL_PATHWAY	0.007	0.071	0.004	0.009	0.089	0.996
BIOCARTA_CCR3_PATHWAY	0.001	0.068	0.003	0.14	0.082	0.369
BIOCARTA_CCR5_PATHWAY	0.388	0.13	0.002	0.116	0.054	0.999
BIOCARTA_CD40_PATHWAY	0.001	0.28	0.006	0.107	0.011	1
BIOCARTA_CDC42RAC_PATHWAY	0.001	0.894	0.001	0.677	0.025	0.539
BIOCARTA_CDK5_PATHWAY	0.292	0.182	0.278	0.194	0.026	0.051
BIOCARTA_CDMAC_PATHWAY	0.005	0.614	0.001	0.315	0.035	0.597
BIOCARTA_CELL2CELL_PATHWAY	0.027	0.011	0.001	0.004	0.02	0.752
BIOCARTA_CELLCYCLE_PATHWAY	0.001	0.105	0.022	0.404	0.017	0.008
BIOCARTA_CERAMIDE_PATHWAY	0.001	0.506	0.001	0.191	0.047	0.989
BIOCARTA_CFTR_PATHWAY	0.939	0.045	0.881	0.001	0.076	1
BIOCARTA_CHEMICAL_PATHWAY	0.001	0.255	0.029	0.071	1	0.122
BIOCARTA_CHREBP2_PATHWAY	0.065	0.672	0.026	0.539	0.17	0.115
BIOCARTA_CK1_PATHWAY	0.925	0.13	0.866	0.688	0.828	1
BIOCARTA_CLASSIC_PATHWAY	0.852	0.705	0.403	0.345	0.048	0.973
BIOCARTA_COMP_PATHWAY	0.782	0.84	0.885	0.246	0.038	1
BIOCARTA_CREB_PATHWAY	0.01	0.081	0.01	0.019	0.025	1
BIOCARTA_CSK_PATHWAY	0.001	0.12	0.002	0.084	0.018	0.001
BIOCARTA_CTCF_PATHWAY	0.02	0.312	0.016	0.785	0.029	0.001
BIOCARTA_CTLA4_PATHWAY	0.175	0.516	0.458	0.642	1	0.007
BIOCARTA_CTL_PATHWAY	0.001	0.809	0.008	0.362	0.06	1
BIOCARTA_CXCR4_PATHWAY	0.002	0.095	0.001	0.109	0.026	0.183
BIOCARTA_CYTOKINE_PATHWAY	0.902	0.854	0.05	0.063	0.343	0.032
BIOCARTA_D4GDI_PATHWAY	0.745	0.077	0.77	0.031	0.331	0.706
BIOCARTA_DC_PATHWAY	0.309	0.889	0.004	0.488	0.117	1
BIOCARTA_DEATH_PATHWAY	0.101	0.424	0.107	0.075	0.021	0.998
BIOCARTA_DNAFRAGMENT_PATHWAY	0.625	0.823	0.872	0.613	0.369	0.97
BIOCARTA_DREAM_PATHWAY	0.13	0.039	0.005	0.003	0.988	1
BIOCARTA_ECM_PATHWAY	0.002	0.007	0.001	0.055	0.032	0.426
BIOCARTA_EDG1_PATHWAY	0.001	0.011	0.004	0.153	0.034	0.567
BIOCARTA_EGFR_SMRTE_PATHWAY	0.007	0.075	0.004	0.014	0.054	1
