Pathway	Utah Expression 24vs35 AUCs	Ontario Expression 24vs35 AUCs	Utah Expression 0124vs35 AUCs	Ontario Expression 0124vs35 AUCs	Lim AUCs	Bellacosa Breast AUCs
BIOCARTA_41BB_PATHWAY	0.5833333	0.6283482	0.3257919	0.4373016	0.6666667	0.5833333
BIOCARTA_ACE2_PATHWAY	0.4294872	0.4754464	0.5022624	0.4547619	0.84	0.125
BIOCARTA_ACH_PATHWAY	0.7045455	0.5764509	0.6748115	0.6071429	0.5733333	0.2777778
BIOCARTA_ACTINY_PATHWAY	0.7628205	0.5379464	0.7414781	0.484127	0.8	0.6527778
BIOCARTA_AGPCR_PATHWAY	0.5017483	0.6729911	0.614178	0.65	0.1333333	0.5416667
BIOCARTA_AGR_PATHWAY	0.75	0.6082589	0.6084465	0.5873016	0.8	0.3888889
BIOCARTA_AHSP_PATHWAY	0.5728438	0.4553571	0.4512821	0.4992063	0.6533333	0
BIOCARTA_AKAP13_PATHWAY	0.5903263	0.3984375	0.5321267	0.4174603	0.7333333	0.1666667
BIOCARTA_AKAP95_PATHWAY	0.537296	0.4542411	0.6015083	0.5126984	0.8666667	0.09722222
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.6247086	0.4486607	0.6561086	0.4666667	0.64	0.3333333
BIOCARTA_AKT_PATHWAY	0.6689977	0.4888393	0.6714932	0.5134921	0.8133333	0.08333333
BIOCARTA_ALK_PATHWAY	0.6290793	0.5904018	0.624736	0.6246032	0.72	0.8611111
BIOCARTA_AMI_PATHWAY	0.5	0.4285714	0.5825038	0.415873	0.3733333	0.1666667
BIOCARTA_ARAP_PATHWAY	0.7400932	0.5089286	0.66546	0.5492063	0.8	0.1666667
BIOCARTA_ARENRF2_PATHWAY	0.5745921	0.7075893	0.6078431	0.6468254	0.4933333	0.4861111
BIOCARTA_ARF_PATHWAY	0.6043124	0.6127232	0.5728507	0.534127	0.8	0.5555556
BIOCARTA_ASBCELL_PATHWAY	0.4248252	0.4107143	0.6431373	0.5531746	0.3333333	0.9027778
BIOCARTA_AT1R_PATHWAY	0.6847319	0.7064732	0.7556561	0.6103175	0.8	0.6944444
BIOCARTA_ATM_PATHWAY	0.6078089	0.6305804	0.6223228	0.5730159	0.7066667	0
