	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
MajorityVoteEnsemblePredictor	0.6321070234113713	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.37099483204134365	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	80.05061991049813	0.564902103160077	117.59525822273967	23	13	0.0
MaxProbabilityEnsemblePredictor	0.6923076923076923	0.75	0.36111111111111116	0.11111111111111116	NA	0.25	0.4295774647887323	0.25892321749443586	10.0	7.0	3.0	26.0	20.0	6.0	13.0	7.0	6.0	23.0	20.0	3.0	0.2777777777777778	0.7	0.3	0.7222222222222222	0.7692307692307693	0.23076923076923078	0.3611111111111111	0.5384615384615384	0.46153846153846156	0.6388888888888888	0.8695652173913043	0.13043478260869565	55.86860591993506	0.4841825882659635	100.79193576299352	27	9	0.40802675585284276
MeanProbabilityEnsemblePredictor	0.6421404682274248	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.44559406884810737	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.14711138552222	0.4752619962717623	98.9349426429652	23	13	0.0
SelectBestEnsemblePredictor	0.5618729096989966	0.5833333333333334	0.36111111111111116	-0.05555555555555547	NA	0.41666666666666663	0.09717868338557993	0.44807234073200697	16.0	7.0	9.0	20.0	14.0	6.0	13.0	7.0	6.0	23.0	14.0	9.0	0.4444444444444444	0.4375	0.5625	0.5555555555555556	0.7	0.3	0.3611111111111111	0.5384615384615384	0.46153846153846156	0.6388888888888888	0.6086956521739131	0.391304347826087	96.68185522419331	0.5539396540353243	115.31321319517205	21	15	0.1471571906354514
SimpleWeightedMeanProbabilityEnsemblePredictor	0.6488294314381271	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.44595475029636017	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.22493665700644	0.47583636978211374	99.05450955710525	23	13	0.0
SimpleWeightedVoteEnsemblePredictor	0.7040133779264214	0.3611111111111111	0.36111111111111116	-0.27777777777777773	NA	0.6388888888888888	0.0	0.5080397246177599	36.0	13.0	23.0	0.0	0.0	0.0	13.0	13.0	0.0	23.0	0.0	23.0	1.0	0.3611111111111111	0.6388888888888888	0.0	NaN	NaN	0.3611111111111111	1.0	0.0	0.6388888888888888	0.0	1.0	109.62118979134	0.5111337800784945	106.40234567804933	13	23	0.0
StackedEnsemblePredictor_weka_svm_rbf_Classes	0.6354515050167224	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.1760563380281688	0.42916666666666675	10.0	5.0	5.0	26.0	18.0	8.0	13.0	5.0	8.0	23.0	18.0	5.0	0.2777777777777778	0.5	0.5	0.7222222222222222	0.6923076923076923	0.3076923076923077	0.3611111111111111	0.38461538461538464	0.6153846153846154	0.6388888888888888	0.782608695652174	0.21739130434782608	92.60252365930603	0.4890312987029676	101.80128827327302	23	13	0.16722408026755864
StackedEnsemblePredictor_weka_svm_rbf_Probabilities	0.6304347826086957	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.11363636363636359	0.4324444444444444	6.0	3.0	3.0	30.0	20.0	10.0	13.0	3.0	10.0	23.0	20.0	3.0	0.16666666666666666	0.5	0.5	0.8333333333333334	0.6666666666666666	0.3333333333333333	0.3611111111111111	0.23076923076923078	0.7692307692307693	0.6388888888888888	0.8695652173913043	0.13043478260869565	93.30977917981072	0.4693066398659007	97.69522044961855	23	13	0.10033444816053505
utahontario1_REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT_weka_svm_weights_r_svm_rbf	0.34448160535117056	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.45492018201674267	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	98.15943359604165	0.48694224257628715	101.36641098518268	23	13	0.0
utahontario1_REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT_weka_svm_weights_r_svm_rbf_Training_Data	0.3918552036199095	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.43683386134209107	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	101.05259475286992	0.4699814976604035	101.21664766535608	85	39	0.0
utahontario1_REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE_weka_svm_weights_r_svm_rbf	0.5484949832775919	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.44798885313279435	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.66384086524648	0.48205748092657813	100.34955372028541	23	13	0.0
utahontario1_REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE_weka_svm_weights_r_svm_rbf_Training_Data	0.4042232277526395	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.43680553594752597	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	101.04604225117188	0.4704650606287631	101.3207892599425	85	39	0.0
utahontario1_REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE_weka_svm_weights_r_svm_rbf	0.568561872909699	0.6666666666666666	0.36111111111111116	0.02777777777777779	NA	0.33333333333333337	0.0962343096234308	0.44706407378682794	1.0	1.0	0.0	35.0	23.0	12.0	13.0	1.0	12.0	23.0	23.0	0.0	0.027777777777777776	1.0	0.0	0.9722222222222222	0.6571428571428571	0.34285714285714286	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	1.0	0.0	96.46429857103797	0.4752242576851861	98.92708662896105	24	12	0.07692307692307687
utahontario1_REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE_weka_svm_weights_r_svm_rbf_Training_Data	0.6205128205128205	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0383869716944552	0.4172813919879052	6.0	3.0	3.0	118.0	82.0	36.0	39.0	3.0	36.0	85.0	82.0	3.0	0.04838709677419355	0.5	0.5	0.9516129032258065	0.6949152542372882	0.3050847457627119	0.31451612903225806	0.07692307692307693	0.9230769230769231	0.6854838709677419	0.9647058823529412	0.03529411764705882	96.52953018091553	0.46169193913863765	99.43138307861017	85	39	0.041628959276018174
utahontario1_REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION_weka_svm_weights_r_svm_rbf	0.5551839464882943	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.4497465639074176	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	97.04310716488128	0.47966920944183644	99.85238898964778	23	13	0.0
