# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.63756614
Weighted average F-Measure	0.65544872
Weighted average true positive rate	0.61538462
Weighted average false positive rate	0.396337
Weighted average sensitivity (recall)	0.61538462
Total number correct	48
Total number incorrect	30
Accuracy	0.61538462
Error rate	0.38461538
Error rate expected by chance	0.19230769
Improvement over error rate expected by chance	-0.19230769
Kappa statistic	0.1503268
Mean absolute error	0.47883131
Mean prior absolute error	0.31538462
Root mean squared error	0.48234506
Root mean prior squared error	0.39418855
Relative absolute error (%)	151.82456014
Root relative squared error (%)	122.3640446
Kononenko & Bratko information score (bits)	-57.85922197
Kononenko & Bratko information score (bits / instance)	-0.7417849
Kononenko & Bratko relative information score (%)	-8014.54083589
Class complexity - order (bits)	55.1103914
Class complexity - order (bits / instance)	0.70654348
Class complexity - scheme (bits)	74.03960145
Class complexity - scheme (bits / instance)	0.94922566
Complexity improvement (bits)	-18.92921005
Complexity improvement (bits / instance)	-0.24268218
