# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.63197587
Weighted average F-Measure	0.60990551
Weighted average true positive rate	0.67741935
Weighted average false positive rate	0.61980246
Weighted average sensitivity (recall)	0.67741935
Total number correct	83
Total number incorrect	41
Accuracy	0.66935484
Error rate	0.33064516
Error rate expected by chance	0.31451613
Improvement over error rate expected by chance	-0.01612903
Kappa statistic	0.0715088
Mean absolute error	0.41499672
Mean prior absolute error	0.43228367
Root mean squared error	0.45654458
Root mean prior squared error	0.46433221
Relative absolute error (%)	96.00101766
Root relative squared error (%)	98.32283301
Kononenko & Bratko information score (bits)	3.04614425
Kononenko & Bratko information score (bits / instance)	0.02456568
Kononenko & Bratko relative information score (%)	337.86049424
Class complexity - order (bits)	111.39501066
Class complexity - order (bits / instance)	0.89834686
Class complexity - scheme (bits)	108.45473834
Class complexity - scheme (bits / instance)	0.87463499
Complexity improvement (bits)	2.94027233
Complexity improvement (bits / instance)	0.02371187
