# Measures of classification performance for each class (dependent variable).
Metric	Result
Number instances predicted as [BRCACancer]	45.0
Number instances predicted as [BRCACancer] correctly	8.0
Number instances predicted as [BRCACancer] incorrectly	37.0
Number instances predicted as [Control]	32.0
Number instances predicted as [Control] correctly	27.0
Number instances predicted as [Control] incorrectly	5.0
Proportion instances predicted as [BRCACancer]	0.58441558
Proportion instances predicted as [BRCACancer] correctly	0.17777778
Proportion instances predicted as [BRCACancer] incorrectly	0.82222222
Proportion instances predicted as [Control]	0.41558442
Proportion instances predicted as [Control] correctly	0.84375
Proportion instances predicted as [Control] incorrectly	0.15625
Number [BRCACancer] instances predicted correctly	8.0
Number [BRCACancer] instances predicted incorrectly	5.0
Number [Control] instances predicted correctly	27.0
Number [Control] instances predicted incorrectly	37.0
Proportion [BRCACancer] instances predicted correctly	0.61538462
Proportion [BRCACancer] instances predicted incorrectly	0.38461538
Proportion [Control] instances predicted correctly	0.421875
Proportion [Control] instances predicted incorrectly	0.578125
