	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
MajorityVoteEnsemblePredictor	0.5575757575757576	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.4114393463230672	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	85.18034099629642	0.5941150398962092	121.0024331031485	22	15	0.0
MaxProbabilityEnsemblePredictor	0.44545454545454544	0.6216216216216216	0.4054054054054054	0.027027027027026973	NA	0.3783783783783784	0.12203389830508463	0.38490478659766225	5.0	3.0	2.0	32.0	20.0	12.0	15.0	3.0	12.0	22.0	20.0	2.0	0.13513513513513514	0.6	0.4	0.8648648648648649	0.625	0.375	0.40540540540540543	0.2	0.8	0.5945945945945946	0.9090909090909091	0.09090909090909091	79.68688767007556	0.603747698841667	122.96430090884625	23	14	0.10909090909090913
MeanProbabilityEnsemblePredictor	0.6242424242424243	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.4578786962946831	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	94.7946856173928	0.4884140959441762	99.47449568259452	22	15	0.0
SelectBestEnsemblePredictor	0.6181818181818183	0.6756756756756757	0.4054054054054054	0.08108108108108103	NA	0.32432432432432434	0.30188679245283034	0.41683003557472464	3.0	3.0	0.0	34.0	22.0	12.0	15.0	3.0	12.0	22.0	22.0	0.0	0.08108108108108109	1.0	0.0	0.918918918918919	0.6470588235294118	0.35294117647058826	0.40540540540540543	0.2	0.8	0.5945945945945946	1.0	0.0	86.29637608813886	0.4955293802839544	100.9236539423893	25	12	0.19999999999999996
SimpleWeightedMeanProbabilityEnsemblePredictor	0.6303030303030303	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.45863553428722786	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	94.95137388471592	0.48926411554323374	99.64761777640534	22	15	0.0
SimpleWeightedVoteEnsemblePredictor	0.503030303030303	0.5675675675675675	0.4054054054054054	-0.027027027027027084	NA	0.43243243243243246	0.1030303030303029	0.500473030774334	15.0	7.0	8.0	22.0	14.0	8.0	15.0	7.0	8.0	22.0	14.0	8.0	0.40540540540540543	0.4666666666666667	0.5333333333333333	0.5945945945945946	0.6363636363636364	0.36363636363636365	0.40540540540540543	0.4666666666666667	0.5333333333333333	0.5945945945945946	0.6363636363636364	0.36363636363636365	103.61299618470073	0.500714925415983	101.9797853913613	21	16	0.10303030303030303
StackedEnsemblePredictor_weka_svm_rbf_Classes	0.5621212121212121	0.5675675675675675	0.4054054054054054	-0.027027027027027084	NA	0.43243243243243246	0.04207119741100324	0.456	9.0	4.0	5.0	28.0	17.0	11.0	15.0	4.0	11.0	22.0	17.0	5.0	0.24324324324324326	0.4444444444444444	0.5555555555555556	0.7567567567567568	0.6071428571428571	0.39285714285714285	0.40540540540540543	0.26666666666666666	0.7333333333333333	0.5945945945945946	0.7727272727272727	0.22727272727272727	94.40573888091824	0.4921133686129321	100.22792046327277	21	16	0.039393939393939315
StackedEnsemblePredictor_weka_svm_rbf_Probabilities	0.5696969696969697	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0480274442538595	0.4398918918918917	4.0	2.0	2.0	33.0	20.0	13.0	15.0	2.0	13.0	22.0	20.0	2.0	0.10810810810810811	0.5	0.5	0.8918918918918919	0.6060606060606061	0.3939393939393939	0.40540540540540543	0.13333333333333333	0.8666666666666667	0.5945945945945946	0.9090909090909091	0.09090909090909091	91.07087517933999	0.4887310651616634	99.53905228183743	22	15	0.042424242424242475
utahontario2_REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT_weka_svm_weights_r_svm_rbf	0.5333333333333333	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.46357601209134325	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	95.97420164244019	0.5010012428153249	102.03809918521205	22	15	0.0
utahontario2_REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT_weka_svm_weights_r_svm_rbf_Training_Data	0.5004524886877828	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.4342262934968575	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	100.44938717197077	0.4677183642023004	100.72925234662799	85	39	0.0
