# Measures of classification performance for each class (dependent variable).
Metric	Result
Number instances predicted as [BRCACancer]	36.0
Number instances predicted as [BRCACancer] correctly	10.0
Number instances predicted as [BRCACancer] incorrectly	26.0
Number instances predicted as [Control]	41.0
Number instances predicted as [Control] correctly	38.0
Number instances predicted as [Control] incorrectly	3.0
Proportion instances predicted as [BRCACancer]	0.46753247
Proportion instances predicted as [BRCACancer] correctly	0.27777778
Proportion instances predicted as [BRCACancer] incorrectly	0.72222222
Proportion instances predicted as [Control]	0.53246753
Proportion instances predicted as [Control] correctly	0.92682927
Proportion instances predicted as [Control] incorrectly	0.07317073
Number [BRCACancer] instances predicted correctly	10.0
Number [BRCACancer] instances predicted incorrectly	3.0
Number [Control] instances predicted correctly	38.0
Number [Control] instances predicted incorrectly	26.0
Proportion [BRCACancer] instances predicted correctly	0.76923077
Proportion [BRCACancer] instances predicted incorrectly	0.23076923
Proportion [Control] instances predicted correctly	0.59375
Proportion [Control] instances predicted incorrectly	0.40625
