	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Total number correct	Total number incorrect	Youden Index
MajorityVoteEnsemblePredictor	0.5515151515151515	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	22	15	0.0
MaxProbabilityEnsemblePredictor	0.5242424242424243	0.4864864864864865	0.4054054054054054	-0.10810810810810811	NA	0.5135135135135135	6.0	1.0	5.0	31.0	17.0	14.0	15.0	1.0	14.0	22.0	17.0	5.0	0.16216216216216217	0.16666666666666666	0.8333333333333334	0.8378378378378378	0.5483870967741935	0.45161290322580644	0.40540540540540543	0.06666666666666667	0.9333333333333333	0.5945945945945946	0.7727272727272727	0.22727272727272727	18	19	-0.16060606060606064
MeanProbabilityEnsemblePredictor	0.6242424242424243	0.6216216216216216	0.4054054054054054	0.027027027027026973	NA	0.3783783783783784	1.0	1.0	0.0	36.0	22.0	14.0	15.0	1.0	14.0	22.0	22.0	0.0	0.02702702702702703	1.0	0.0	0.972972972972973	0.6111111111111112	0.3888888888888889	0.40540540540540543	0.06666666666666667	0.9333333333333333	0.5945945945945946	1.0	0.0	23	14	0.06666666666666665
SelectBestEnsemblePredictor	0.6575757575757575	0.6756756756756757	0.4054054054054054	0.08108108108108103	NA	0.32432432432432434	17.0	10.0	7.0	20.0	15.0	5.0	15.0	10.0	5.0	22.0	15.0	7.0	0.4594594594594595	0.5882352941176471	0.4117647058823529	0.5405405405405406	0.75	0.25	0.40540540540540543	0.6666666666666666	0.3333333333333333	0.5945945945945946	0.6818181818181818	0.3181818181818182	25	12	0.3484848484848484
SimpleWeightedMeanProbabilityEnsemblePredictor	0.6303030303030303	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	22	15	0.0
SimpleWeightedVoteEnsemblePredictor	0.25606060606060604	0.32432432432432434	0.4054054054054054	-0.2702702702702703	NA	0.6756756756756757	20.0	5.0	15.0	17.0	7.0	10.0	15.0	5.0	10.0	22.0	7.0	15.0	0.5405405405405406	0.25	0.75	0.4594594594594595	0.4117647058823529	0.5882352941176471	0.40540540540540543	0.3333333333333333	0.6666666666666666	0.5945945945945946	0.3181818181818182	0.6818181818181818	12	25	-0.3484848484848485
StackedEnsemblePredictor_weka_svm_rbf_Classes	0.5545454545454546	0.6756756756756757	0.4054054054054054	0.08108108108108103	NA	0.32432432432432434	7.0	5.0	2.0	30.0	20.0	10.0	15.0	5.0	10.0	22.0	20.0	2.0	0.1891891891891892	0.7142857142857143	0.2857142857142857	0.8108108108108109	0.6666666666666666	0.3333333333333333	0.40540540540540543	0.3333333333333333	0.6666666666666666	0.5945945945945946	0.9090909090909091	0.09090909090909091	25	12	0.24242424242424243
StackedEnsemblePredictor_weka_svm_rbf_Probabilities	0.5954545454545455	0.6216216216216216	0.4054054054054054	0.027027027027026973	NA	0.3783783783783784	9.0	5.0	4.0	28.0	18.0	10.0	15.0	5.0	10.0	22.0	18.0	4.0	0.24324324324324326	0.5555555555555556	0.4444444444444444	0.7567567567567568	0.6428571428571429	0.35714285714285715	0.40540540540540543	0.3333333333333333	0.6666666666666666	0.5945945945945946	0.8181818181818182	0.18181818181818182	23	14	0.1515151515151516
utahontario2_KEGG_ABC_TRANSPORTERS_weka_svm_weights_r_svm_rbf	0.6181818181818183	0.6486486486486487	0.4054054054054054	0.05405405405405406	25	0.3513513513513513	4.0	3.0	1.0	33.0	21.0	12.0	15.0	3.0	12.0	22.0	21.0	1.0	0.10810810810810811	0.75	0.25	0.8918918918918919	0.6363636363636364	0.36363636363636365	0.40540540540540543	0.2	0.8	0.5945945945945946	0.9545454545454546	0.045454545454545456	24	13	0.15454545454545454
utahontario2_KEGG_ABC_TRANSPORTERS_weka_svm_weights_r_svm_rbf_Training_Data	0.6033182503770739	0.6612903225806451	0.3145161290322581	-0.024193548387096753	25	0.33870967741935487	7.0	2.0	5.0	117.0	80.0	37.0	39.0	2.0	37.0	85.0	80.0	5.0	0.056451612903225805	0.2857142857142857	0.7142857142857143	0.9435483870967742	0.6837606837606838	0.3162393162393162	0.31451612903225806	0.05128205128205128	0.9487179487179487	0.6854838709677419	0.9411764705882353	0.058823529411764705	82	42	-0.007541478129713397
utahontario2_KEGG_ACUTE_MYELOID_LEUKEMIA_weka_svm_weights_r_svm_rbf	0.5636363636363636	0.5675675675675675	0.4054054054054054	-0.027027027027027084	50	0.43243243243243246	1.0	0.0	1.0	36.0	21.0	15.0	15.0	0.0	15.0	22.0	21.0	1.0	0.02702702702702703	0.0	1.0	0.972972972972973	0.5833333333333334	0.4166666666666667	0.40540540540540543	0.0	1.0	0.5945945945945946	0.9545454545454546	0.045454545454545456	21	16	-0.045454545454545414
utahontario2_KEGG_ACUTE_MYELOID_LEUKEMIA_weka_svm_weights_r_svm_rbf_Training_Data	0.6892911010558069	0.6774193548387096	0.3145161290322581	-0.008064516129032251	50	0.32258064516129037	11.0	5.0	6.0	113.0	79.0	34.0	39.0	5.0	34.0	85.0	79.0	6.0	0.08870967741935484	0.45454545454545453	0.5454545454545454	0.9112903225806451	0.6991150442477876	0.3008849557522124	0.31451612903225806	0.1282051282051282	0.8717948717948718	0.6854838709677419	0.9294117647058824	0.07058823529411765	84	40	0.057616892911010575
