# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.72581585
Weighted average F-Measure	0.6237553
Weighted average true positive rate	0.62650602
Weighted average false positive rate	0.38349903
Weighted average sensitivity (recall)	0.62650602
Total number correct	52
Total number incorrect	31
Accuracy	0.62650602
Error rate	0.37349398
Error rate expected by chance	0.46987952
Improvement over error rate expected by chance	0.09638554
Kappa statistic	0.24479014
Mean absolute error	0.42052148
Mean prior absolute error	0.49822821
Root mean squared error	0.4604492
Root mean prior squared error	0.49909244
Relative absolute error (%)	84.40338763
Root relative squared error (%)	92.25729922
Kononenko & Bratko information score (bits)	14.68217409
Kononenko & Bratko information score (bits / instance)	0.17689366
Kononenko & Bratko relative information score (%)	1471.89339431
Class complexity - order (bits)	82.78271576
Class complexity - order (bits / instance)	0.99738212
Class complexity - scheme (bits)	73.57574088
Class complexity - scheme (bits / instance)	0.88645471
Complexity improvement (bits)	9.20697488
Complexity improvement (bits / instance)	0.11092741
