	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCA	Number instances predicted as dependent variable class BRCA correctly	Number instances predicted as dependent variable class BRCA incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCA	Number instances with dependent variable class BRCA predicted correctly	Number instances with dependent variable class BRCA predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCA	Proportion instances predicted as dependent variable class BRCA correctly	Proportion instances predicted as dependent variable class BRCA incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCA	Proportion instances with dependent variable class BRCA predicted correctly	Proportion instances with dependent variable class BRCA predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
MajorityVoteEnsemblePredictor	0.8066666666666666	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.27272727272727293	0.2064815140245721	19.0	15.0	4.0	1.0	1.0	0.0	15.0	15.0	0.0	5.0	1.0	4.0	0.95	0.7894736842105263	0.21052631578947367	0.05	1.0	0.0	0.75	1.0	0.0	0.25	0.2	0.8	53.442274218124545	0.3503501665639938	80.79868877344728	16	4	0.19999999999999996
MaxProbabilityEnsemblePredictor	0.4666666666666667	0.75	0.25	0.0	NA	0.25	0.28571428571428564	0.2566459070685004	16.0	13.0	3.0	4.0	2.0	2.0	15.0	13.0	2.0	5.0	2.0	3.0	0.8	0.8125	0.1875	0.2	0.5	0.5	0.75	0.8666666666666667	0.13333333333333333	0.25	0.4	0.6	66.42599947655305	0.4953134943195889	114.23051761417408	15	5	0.2666666666666666
MeanProbabilityEnsemblePredictor	0.8	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5	0.30157331169014207	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	78.05426890803678	0.3610762610633753	83.27236926205586	17	3	0.3999999999999999
SelectBestEnsemblePredictor	0.7333333333333333	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	0.19999999999999987	0.29434836305921264	15.0	12.0	3.0	5.0	2.0	3.0	15.0	12.0	3.0	5.0	2.0	3.0	0.75	0.8	0.2	0.25	0.4	0.6	0.75	0.8	0.2	0.25	0.4	0.6	76.18428220356091	0.42668866273884454	98.40407613306233	14	6	0.20000000000000018
SimpleWeightedMeanProbabilityEnsemblePredictor	0.8	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.27272727272727293	0.31744510480335936	19.0	15.0	4.0	1.0	1.0	0.0	15.0	15.0	0.0	5.0	1.0	4.0	0.95	0.7894736842105263	0.21052631578947367	0.05	1.0	0.0	0.75	1.0	0.0	0.25	0.2	0.8	82.16226241969301	0.37485047759801743	86.44901577487359	16	4	0.19999999999999996
SimpleWeightedVoteEnsemblePredictor	0.6566666666666666	0.65	0.25	-0.09999999999999998	NA	0.35	0.1250000000000001	0.41458343351564125	14.0	11.0	3.0	6.0	2.0	4.0	15.0	11.0	4.0	5.0	2.0	3.0	0.7	0.7857142857142857	0.21428571428571427	0.3	0.3333333333333333	0.6666666666666666	0.75	0.7333333333333333	0.26666666666666666	0.25	0.4	0.6	107.30394749816597	0.45258341211707354	104.37599222032293	13	7	0.1333333333333333
StackedEnsemblePredictor_weka_svm_rbf_Classes	0.8	0.95	0.25	0.19999999999999996	NA	0.050000000000000044	0.857142857142857	0.16499999999999998	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	42.70588235294117	0.24838961330941353	57.28427435092538	19	1	0.8
StackedEnsemblePredictor_weka_svm_rbf_Probabilities	0.6933333333333334	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5	0.30215000000000003	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	78.20352941176472	0.38520247922358963	88.83642196831134	17	3	0.3999999999999999
Visvader_BIOCARTA_41BB_PATHWAY_weka_svm_weights_r_svm_rbf	0.72	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5	0.319172793541721	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	82.60942891668074	0.3926764087535527	90.5600795076488	17	3	0.3999999999999999
Visvader_BIOCARTA_ACE2_PATHWAY_weka_svm_weights_r_svm_rbf	0.8133333333333332	0.9	0.25	0.15000000000000002	NA	0.09999999999999998	0.6923076923076923	0.2602718824707189	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	67.36448722771549	0.33828360349534947	78.01586585228141	18	2	0.6000000000000001
Visvader_BIOCARTA_ACH_PATHWAY_weka_svm_weights_r_svm_rbf	0.6533333333333333	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.27272727272727293	0.321502087379529	19.0	15.0	4.0	1.0	1.0	0.0	15.0	15.0	0.0	5.0	1.0	4.0	0.95	0.7894736842105263	0.21052631578947367	0.05	1.0	0.0	0.75	1.0	0.0	0.25	0.2	0.8	83.21230496881928	0.4099364456698688	94.54063520338843	16	4	0.19999999999999996
Visvader_BIOCARTA_ACTINY_PATHWAY_weka_svm_weights_r_svm_rbf	0.7866666666666666	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5714285714285713	0.2564638419722386	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	66.37887674575587	0.33280203412506404	76.75169172077331	17	3	0.5333333333333332
Visvader_BIOCARTA_AGPCR_PATHWAY_weka_svm_weights_r_svm_rbf	0.16	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.42502553445924507	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	110.00660891886342	0.4951198141414753	114.18585057551827	14	6	-0.06666666666666665
Visvader_BIOCARTA_AGR_PATHWAY_weka_svm_weights_r_svm_rbf	0.8	0.95	0.25	0.19999999999999996	NA	0.050000000000000044	0.857142857142857	0.24033873060608255	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	62.2053185098096	0.3156765521880717	72.8021674528304	19	1	0.8
Visvader_BIOCARTA_AHSP_PATHWAY_weka_svm_weights_r_svm_rbf	0.6533333333333333	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5	0.2979766335115186	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	77.12336396768717	0.3807476187828724	87.80903018537377	17	3	0.3999999999999999
Visvader_BIOCARTA_AKAP13_PATHWAY_weka_svm_weights_r_svm_rbf	0.7066666666666667	0.75	0.25	0.0	NA	0.25	0.28571428571428564	0.32545619200323045	16.0	13.0	3.0	4.0	2.0	2.0	15.0	13.0	2.0	5.0	2.0	3.0	0.8	0.8125	0.1875	0.2	0.5	0.5	0.75	0.8666666666666667	0.13333333333333333	0.25	0.4	0.6	84.23572028318907	0.4131242899135857	95.27582433554275	15	5	0.2666666666666666
Visvader_BIOCARTA_AKAP95_PATHWAY_weka_svm_weights_r_svm_rbf	0.8800000000000001	0.95	0.25	0.19999999999999996	NA	0.050000000000000044	0.857142857142857	0.19349154936898236	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	50.080165719030724	0.27763841791535665	64.0297115902689	19	1	0.8
Visvader_BIOCARTA_AKAPCENTROSOME_PATHWAY_weka_svm_weights_r_svm_rbf	0.5466666666666666	0.75	0.25	0.0	NA	0.25	0.0	0.3399942497617535	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	87.9985117030421	0.4322645926848707	99.69001195193177	15	5	0.0
Visvader_BIOCARTA_AKT_PATHWAY_weka_svm_weights_r_svm_rbf	0.8	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5714285714285713	0.26720528159075074	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	69.15901405878255	0.3602840795203452	83.08967424416818	17	3	0.5333333333333332
Visvader_BIOCARTA_ALK_PATHWAY_weka_svm_weights_r_svm_rbf	0.6933333333333334	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	0.19999999999999987	0.32771460559754056	15.0	12.0	3.0	5.0	2.0	3.0	15.0	12.0	3.0	5.0	2.0	3.0	0.75	0.8	0.2	0.25	0.4	0.6	0.75	0.8	0.2	0.25	0.4	0.6	84.8202508605399	0.4158476237828799	95.90388684765549	14	6	0.20000000000000018
Visvader_BIOCARTA_AMI_PATHWAY_weka_svm_weights_r_svm_rbf	0.44000000000000006	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.3899931732622456	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	100.93940955022826	0.4715544114951576	108.75113463713434	14	6	-0.06666666666666665
Visvader_BIOCARTA_ARAP_PATHWAY_weka_svm_weights_r_svm_rbf	0.8	0.9	0.25	0.15000000000000002	NA	0.09999999999999998	0.6923076923076923	0.2439584880637244	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	63.14219691061102	0.3196900357974617	73.7277677350646	18	2	0.6000000000000001
Visvader_BIOCARTA_ARENRF2_PATHWAY_weka_svm_weights_r_svm_rbf	0.5866666666666667	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.27272727272727293	0.359243977809113	19.0	15.0	4.0	1.0	1.0	0.0	15.0	15.0	0.0	5.0	1.0	4.0	0.95	0.7894736842105263	0.21052631578947367	0.05	1.0	0.0	0.75	1.0	0.0	0.25	0.2	0.8	92.9807942564763	0.4349590818307997	100.31142221709739	16	4	0.19999999999999996
Visvader_BIOCARTA_ARF_PATHWAY_weka_svm_weights_r_svm_rbf	0.8	0.9	0.25	0.15000000000000002	NA	0.09999999999999998	0.7333333333333334	0.25787838039202027	15.0	14.0	1.0	5.0	4.0	1.0	15.0	14.0	1.0	5.0	4.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.8	0.2	0.75	0.9333333333333333	0.06666666666666667	0.25	0.8	0.2	66.7449925720523	0.33959452806197793	78.31819476824364	18	2	0.7333333333333334
