	AUC
Visvader_SA_G2_AND_M_PHASES_weka_svm_weights_r_svm_rbf	1.0
Visvader_BIOCARTA_RELA_PATHWAY_weka_svm_weights_r_svm_rbf	0.946666666667
Visvader_REACTOME_RNA_POLYMERASE_I_PROMOTER_CLEARANCE_weka_svm_weights_r_svm_rbf	0.933333333333
Visvader_REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE_weka_svm_weights_r_svm_rbf	0.92
Visvader_BIOCARTA_NDKDYNAMIN_PATHWAY_weka_svm_weights_r_svm_rbf	0.906666666667
Visvader_KEGG_MELANOMA_weka_svm_weights_r_svm_rbf	0.893333333333
Visvader_KEGG_RNA_TRANSPORT_weka_svm_weights_r_svm_rbf	0.893333333333
Visvader_REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS_weka_svm_weights_r_svm_rbf	0.893333333333
Visvader_REACTOME_RNA_POLYMERASE_I_PROMOTER_OPENING_weka_svm_weights_r_svm_rbf	0.893333333333
Visvader_BIOCARTA_AKAP95_PATHWAY_weka_svm_weights_r_svm_rbf	0.88
Visvader_KEGG_AXON_GUIDANCE_weka_svm_weights_r_svm_rbf	0.88
Visvader_KEGG_NEUROTROPHIN_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.88
Visvader_REACTOME_G1_S_TRANSITION_weka_svm_weights_r_svm_rbf	0.88
Visvader_REACTOME_OPIOID_SIGNALLING_weka_svm_weights_r_svm_rbf	0.88
Visvader_REACTOME_OPSINS_weka_svm_weights_r_svm_rbf	0.88
Visvader_BIOCARTA_SHH_PATHWAY_weka_svm_weights_r_svm_rbf	0.866666666667
Visvader_KEGG_CHEMOKINE_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.866666666667
Visvader_KEGG_FOCAL_ADHESION_weka_svm_weights_r_svm_rbf	0.866666666667
Visvader_KEGG_GLIOMA_weka_svm_weights_r_svm_rbf	0.866666666667
Visvader_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON_weka_svm_weights_r_svm_rbf	0.866666666667
Visvader_REACTOME_INORGANIC_CATION_ANION_SLC_TRANSPORTERS_weka_svm_weights_r_svm_rbf	0.866666666667
Visvader_REACTOME_TRAF6_MEDIATED_INDUCTION_OF_THE_ANTIVIRAL_CYTOKINE_IFN_ALPHA_BETA_CASCADE_weka_svm_weights_r_svm_rbf	0.866666666667
Visvader_REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS_weka_svm_weights_r_svm_rbf	0.866666666667
Visvader_BIOCARTA_CD40_PATHWAY_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_BIOCARTA_CDK5_PATHWAY_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_KEGG_CELL_CYCLE_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_KEGG_CHRONIC_MYELOID_LEUKEMIA_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_KEGG_ECM_RECEPTOR_INTERACTION_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_KEGG_FATTY_ACID_ELONGATION_IN_MITOCHONDRIA_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_KEGG_MRNA_SURVEILLANCE_PATHWAY_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_KEGG_RIBOSOME_BIOGENESIS_IN_EUKARYOTES_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_APOPTOSIS_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_AXON_GUIDANCE_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_CELL_CYCLE_CHECKPOINTS_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_CELL_CYCLE_MITOTIC_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_REGULATION_OF_INSULIN_SECRETION_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_COMPLEX_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_RHO_GTPASE_CYCLE_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_SIGNALING_BY_PDGF_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_S_PHASE_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_TRANSCRIPTION_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_REACTOME_VIRAL_DSRNA_TLR3_TRIF_COMPLEX_ACTIVATES_RIP1_weka_svm_weights_r_svm_rbf	0.853333333333
Visvader_BIOCARTA_BARR_MAPK_PATHWAY_weka_svm_weights_r_svm_rbf	0.84
Visvader_BIOCARTA_GABA_PATHWAY_weka_svm_weights_r_svm_rbf	0.84
Visvader_BIOCARTA_IL3_PATHWAY_weka_svm_weights_r_svm_rbf	0.84
Visvader_BIOCARTA_LYM_PATHWAY_weka_svm_weights_r_svm_rbf	0.84
Visvader_KEGG_DRUG_METABOLISM_CYTOCHROME_P450_weka_svm_weights_r_svm_rbf	0.84
Visvader_KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION_weka_svm_weights_r_svm_rbf	0.84
Visvader_KEGG_PROSTATE_CANCER_weka_svm_weights_r_svm_rbf	0.84
Visvader_KEGG_PROTEIN_DIGESTION_AND_ABSORPTION_weka_svm_weights_r_svm_rbf	0.84
Visvader_KEGG_PROTEIN_PROCESSING_IN_ENDOPLASMIC_RETICULUM_weka_svm_weights_r_svm_rbf	0.84
Visvader_KEGG_PYRIMIDINE_METABOLISM_weka_svm_weights_r_svm_rbf	0.84
Visvader_REACTOME_DIABETES_PATHWAYS_weka_svm_weights_r_svm_rbf	0.84
Visvader_REACTOME_DNA_REPAIR_weka_svm_weights_r_svm_rbf	0.84
Visvader_REACTOME_INNATE_IMMUNITY_SIGNALING_weka_svm_weights_r_svm_rbf	0.84
Visvader_REACTOME_MEMBRANE_TRAFFICKING_weka_svm_weights_r_svm_rbf	0.84
