# Measures of classification performance across all classes (dependent variables). The weighted average metrics were weighted by the class distribution. Cross-validation assignments were stratified by class, where possible.
Metric	Result
Weighted average AUC	0.65277778
Weighted average F-Measure	0.56790123
Weighted average true positive rate	0.61111111
Weighted average false positive rate	0.61111111
Weighted average sensitivity (recall)	0.61111111
Total number correct	12
Total number incorrect	6
Accuracy	0.66666667
Error rate	0.33333333
Error rate expected by chance	0.33333333
Improvement over error rate expected by chance	0.0
Kappa statistic	0.0
Mean absolute error	0.39285869
Mean prior absolute error	0.45
Root mean squared error	0.4608281
Root mean prior squared error	0.47169906
Relative absolute error (%)	87.30193146
Root relative squared error (%)	97.6953609
Kononenko & Bratko information score (bits)	1.44174438
Kononenko & Bratko information score (bits / instance)	0.08009691
Kononenko & Bratko relative information score (%)	154.35110662
Class complexity - order (bits)	16.54529956
Class complexity - order (bits / instance)	0.91918331
Class complexity - scheme (bits)	15.20872373
Class complexity - scheme (bits / instance)	0.8449291
Complexity improvement (bits)	1.33657583
Complexity improvement (bits / instance)	0.07425421
