# Measures of classification performance for each class (dependent variable).
Metric	Result
Number instances predicted as [BRCACancer]	58.0
Number instances predicted as [BRCACancer] correctly	26.0
Number instances predicted as [BRCACancer] incorrectly	32.0
Number instances predicted as [Control]	25.0
Number instances predicted as [Control] correctly	12.0
Number instances predicted as [Control] incorrectly	13.0
Proportion instances predicted as [BRCACancer]	0.69879518
Proportion instances predicted as [BRCACancer] correctly	0.44827586
Proportion instances predicted as [BRCACancer] incorrectly	0.55172414
Proportion instances predicted as [Control]	0.30120482
Proportion instances predicted as [Control] correctly	0.48
Proportion instances predicted as [Control] incorrectly	0.52
Number [BRCACancer] instances predicted correctly	26.0
Number [BRCACancer] instances predicted incorrectly	13.0
Number [Control] instances predicted correctly	12.0
Number [Control] instances predicted incorrectly	32.0
Proportion [BRCACancer] instances predicted correctly	0.66666667
Proportion [BRCACancer] instances predicted incorrectly	0.33333333
Proportion [Control] instances predicted correctly	0.27272727
Proportion [Control] instances predicted incorrectly	0.72727273
